"filename", "language", "JSON", "TypeScript JSX", "TypeScript", "Markdown", "comment", "blank", "total"
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\README.md", "Markdown", 0, 0, 0, -3, 0, 0, -3
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\package-lock.json", "JSON", 436, 0, 0, 0, 0, 0, 436
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\package.json", "JSON", 2, 0, 0, 0, 0, 0, 2
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\Home\index.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 6, 42
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\Post\index.tsx", "TypeScript JSX", 0, 38, 0, 0, 1, 11, 50
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\SignUp\index.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 8, 20
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\api\chats.ts", "TypeScript", 0, 0, 21, 0, 0, 2, 23
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\api\files.ts", "TypeScript", 0, 0, 1, 0, 0, 3, 4
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\api\index.ts", "TypeScript", 0, 0, 17, 0, 0, 1, 18
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\api\posts.ts", "TypeScript", 0, 0, 23, 0, 0, 1, 24
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\api\types.ts", "TypeScript", 0, 0, 14, 0, 0, 2, 16
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\components\chat\index.tsx", "TypeScript JSX", 0, 127, 0, 0, 0, 9, 136
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\routes\index.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 2, 10
"Total", "-", 438, 221, 76, -3, 1, 45, 778
