"filename", "language", "Markdown", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\README.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 9, 24
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\app.json", "JSON", 0, 15, 0, 0, 0, 0, 33, 0, 48
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\babel.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\eas.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 18
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\package-lock.json", "JSON", 0, 37878, 0, 0, 0, 0, 0, 1, 37879
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\package.json", "JSON", 0, 58, 0, 0, 0, 0, 0, 1, 59
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\Home\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 365, 0, 2, 47, 414
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\Home\styles.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 2, 57
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\Post\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 201, 0, 2, 43, 246
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\Post\styles.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\SignIn\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 10, 75
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\SignIn\styles.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 2, 58
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\SignUp\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 138, 0, 2, 36, 176
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\SignUp\styles.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 2, 58
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\Welcome\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 7, 52
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\Welcome\styles.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 1, 58
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\api\chats.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\api\files.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 14, 60
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\api\index.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 2, 33
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\api\posts.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 5, 61
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\api\types.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 3, 8, 48
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\api\user.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 16, 58
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\components\chat\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 265, 0, 0, 70, 335
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\components\chat\styles.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 2, 57
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\components\dashboard\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 6, 32
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\components\dashboard\styles.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 2, 57
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\components\settings\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 15, 78
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\components\settings\styles.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 2, 57
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\pages\components\util.tsx", "TypeScript JSX", 0, 0, 0, 0, 80, 0, 0, 10, 90
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\routes\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 95, 0, 0, 12, 107
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\src\utils\phoneNumberMask.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\orgam\Documents\work\projects\pakmaweshi\app\tsconfig.json", "JSON with Comments", 0, 0, 6, 0, 0, 0, 0, 1, 7
"Total", "-", 15, 37969, 6, 642, 1354, 6, 42, 334, 40368
